label,type,V2018,V2022,V2026,options_2018,options_2022,options_2026,comparable,source_2018_2022,source_2022_2026
Hoe vergelyk die gemeente se werklike inkomste met die begrote inkomste vir die boekjaar wat geëindig het op 28 Februarie 2022? Met watter persentasie?,,,V119,V67,,,3,scale-changed,,block+text
Hoe vergelyk die gemeente se werklike inkomste met die begrote inkomste vir die boekjaar wat geëindig het op 28 Februarie 2022? Uitgawes,,,V120,V66,,3,3,yes,,block+text
Hoe vergelyk die gemeente se werklike inkomste met die begrote inkomste vir die boekjaar wat geëindig het op 28 Februarie 2022? Met watter persentasie?,,,V121,,,,,single-wave,,
Hoe vergelyk die gemeente se werklike inkomste met die begrote inkomste vir die boekjaar wat geëindig het op 28 Februarie 2022? geëindig het op 28 Februarie 2022?,,,V122,,,3,,single-wave,,
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Ja Nee Aanlyn erediens (op You tube, ens beskikbaar)",,,V129,V72,,2,2,yes,,block+text
Wie lei hierdie dienste? (Merk asb waar van toepassing) Voltydse Deel- Diens- Jeug- Kerk- Lid- predi- tydse leraar of raads- maat,,,V138,,,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Voltydse Deel- Diens- Jeug- Kerk- Lid- predi- tydse leraar of raads- maat burgers,,,V139,,,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Voltydse Deel- Diens- Jeug- Kerk- Lid- predi- tydse leraar of raads- maat Aparte Jeugdiens,,,V140,,,6,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Voltydse Deel- Diens- Jeug- Kerk- Lid- predi- tydse leraar of raads- maat Aparte Kinderdiens,,,V141,,,6,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Voltydse Deel- Diens- Jeug- Kerk- Lid- predi- tydse leraar of raads- maat Aparte Kleuterdiens,,,V142,,,6,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Voltydse Deel- Diens- Jeug- Kerk- Lid- predi- tydse leraar of raads- maat Andertalige diens,,,V143,,,6,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Voltydse Deel- Diens- Jeug- Kerk- Lid- predi- tydse leraar of raads- maat Ander: Spesifiseer,,,V144a,,,6,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V145a,V87,,,,numeric,,block+text
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V145b,,,,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V146a,,,,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V146b,,,,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V147a,,,,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V147b,,,,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V148a,,,,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V148b,,,,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V149a,,,,,single-wave,,
Dui al die verskillende tale waarin eredienste gehou word en hoeveel dienste per maand: Getal Taal,,,V149b,,,,,single-wave,,
"Wat is die totale gemiddelde digitale/aanlyn erediensbywoning per Sondag in Februarie? (Dui dit vir elke jaar, as gemiddeld vir al die erediente wat op ’n Sondag in Februarie plaasvind, aan. Om ’n akkurate telling te verseker kan 2020",,,V154,V92,,,,numeric,,block+text
"Wat is die totale gemiddelde digitale/aanlyn erediensbywoning per Sondag in Februarie? (Dui dit vir elke jaar, as gemiddeld vir al die erediente wat op ’n Sondag in Februarie plaasvind, aan. Om ’n akkurate telling te verseker kan 2021",,,V155,V93,,,,numeric,,block+text
"Wat is die totale gemiddelde digitale/aanlyn erediensbywoning per Sondag in Februarie? (Dui dit vir elke jaar, as gemiddeld vir al die erediente wat op ’n Sondag in Februarie plaasvind, aan. Om ’n akkurate telling te verseker kan Hoe het u die digitale/aanlyn erediensbywoning bepaal?",,,V156,V96,,,,numeric,,block+text
In persoon eredienste is nou,3opsies2,,V157,V94,,3,3,yes,,block+text
"Wat is die totale gemiddelde digitale/aanlyn erediensbywoning per Sondag in Februarie? (Dui dit vir elke jaar, as gemiddeld vir al die erediente wat op ’n Sondag in Februarie plaasvind, aan. Om ’n akkurate telling te verseker kan (in persoon en",,,V158,V95,,,,numeric,,block+text
"Wat is die totale gemiddelde digitale/aanlyn erediensbywoning per Sondag in Februarie? (Dui dit vir elke jaar, as gemiddeld vir al die erediente wat op ’n Sondag in Februarie plaasvind, aan. Om ’n akkurate telling te verseker kan aanlyn)",,,V159,,,3,,single-wave,,
Wat die eredienste in die gemeente betref… Altyd Gereeld Soms Nooit,,,V168,V105,,,,numeric,,block+text
Oorweeg vir voortbestaan: diensleraar,janee,,V182,,,2,,single-wave,,
"Wie is die voorsitter van die kerkraad? Ons het een predikant, hy/sy doen dit 1 Ons het meer as een predikant, hulle roteer 2 5.5 Wie is die voorsitter van die kerkraad?",,,V189,V131,,4,5,scale-changed,,block+order
"Gebruik die gemeente sosiale media (whatsapp, facebook en andere) vir enige van die volgende? (Kies al die opsies van toepassing) Ja Nee Algemene afkondiginge",,,V199,V143,,2,2,yes,,block+text
"Gebruik die gemeente sosiale media (whatsapp, facebook en andere) vir enige van die volgende? (Kies al die opsies van toepassing) Ja Nee Bekendstelling van eredienste",,,V200,V144,,2,2,yes,,block+text
"Gebruik die gemeente sosiale media (whatsapp, facebook en andere) vir enige van die volgende? (Kies al die opsies van toepassing) Ja Nee Bekendstelling van hulpbronne of programme",,,V201,V145,,2,2,yes,,block+text
"Gebruik die gemeente sosiale media (whatsapp, facebook en andere) vir enige van die volgende? (Kies al die opsies van toepassing) Ja Nee Deel van Skrifgedeeltes of ander aanhalings",,,V202,V146,,2,2,yes,,block+text
"Aanlyn bediening: Gemeentes het nuwe maniere gevind, om wat eers in persoon gedoen is, nou ook aanlyn te doen. Dui asb. aan wat die gemeente nou ook aanlyn doen. Bybelstudie- en/of kleingroepe",,,V203,,,4,,single-wave,,
"Aanlyn bediening: Gemeentes het nuwe maniere gevind, om wat eers in persoon gedoen is, nou ook aanlyn te doen. Dui asb. aan wat die gemeente nou ook aanlyn doen. Bediening aan Laerskool leerders",,,V204,,,4,,single-wave,,
"Aanlyn bediening: Gemeentes het nuwe maniere gevind, om wat eers in persoon gedoen is, nou ook aanlyn te doen. Dui asb. aan wat die gemeente nou ook aanlyn doen. Tiener en/of jong volwasse bediening",,,V205,,,4,,single-wave,,
"Aanlyn bediening: Gemeentes het nuwe maniere gevind, om wat eers in persoon gedoen is, nou ook aanlyn te doen. Dui asb. aan wat die gemeente nou ook aanlyn doen. Komitee en/of bediening vergaderings",,,V206,,,4,,single-wave,,
